Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year
2015-10-21,41.27218246459961,41.96296766387541,41.19348537435791,41.90175585092134,25144300,40.285853,39.222042,40.522422,39.775023,74.573071,0.748147,0.669263,-0.011932,0.010216,2.000000,21.000000,10.000000,2015.000000
2015-10-22,41.99795150756836,42.80241121354159,41.1760065201635,41.560746088299524,56637100,40.465982,39.249957,40.662949,39.862197,73.930056,0.771758,0.689762,0.017585,0.010647,3.000000,22.000000,10.000000,2015.000000
2015-10-23,46.230098724365234,47.279392366520916,45.6879649545696,45.731684828073476,135227100,40.856407,39.362688,41.193153,40.111918,84.977651,1.119069,0.775624,0.100770,0.023948,4.000000,23.000000,10.000000,2015.000000
2015-10-26,47.436790466308594,47.49799896135158,45.906571419008316,45.932802678137364,64633300,41.335584,39.494863,41.787786,40.399168,86.837017,1.474686,0.915436,0.026102,0.023502,0.000000,26.000000,10.000000,2015.000000
2015-10-27,46.94711685180664,47.54171649052726,46.85093446121262,47.20944277259305,50999900,41.783721,39.611684,42.279150,40.655950,82.226413,1.697436,1.071836,-0.010323,0.023951,1.000000,27.000000,10.000000,2015.000000
2015-10-28,47.20070266723633,47.20070266723633,46.22136333748789,46.81596305016699,47000800,42.208685,39.729030,42.747870,40.912607,81.607055,1.872840,1.232037,0.005402,0.023904,2.000000,28.000000,10.000000,2015.000000
2015-10-29,46.6585693359375,47.06954355432793,46.53615233529688,46.815963575507745,30202100,42.591240,39.847076,43.120317,41.137939,79.453365,1.945675,1.374764,-0.011486,0.024392,3.000000,29.000000,10.000000,2015.000000
2015-10-30,46.02897644042969,47.209432828481354,46.01148782702019,46.62357595390491,46619800,42.900343,39.969143,43.397332,41.329745,75.133541,1.930342,1.485880,-0.013494,0.024720,4.000000,30.000000,10.000000,2015.000000
2015-11-02,46.55363082885742,46.6585591872102,46.01149375020794,46.21260782688925,30285000,43.189335,40.146999,43.697932,41.534603,77.113494,1.938184,1.576341,0.011398,0.024463,0.000000,2.000000,11.000000,2015.000000
2015-11-03,47.349342346191406,47.55919905337076,46.256328934096615,46.28256018859098,36596900,43.512867,40.365077,44.045686,41.762632,80.096588,1.985716,1.658216,0.017092,0.024543,1.000000,3.000000,11.000000,2015.000000
2015-11-04,47.567955017089844,47.987671855194336,47.270655173147546,47.375583548770436,37087800,43.845143,40.608688,44.381140,41.990292,79.967491,2.017766,1.730126,0.004617,0.024506,2.000000,4.000000,11.000000,2015.000000
2015-11-05,47.550472259521484,47.83028351941343,47.21819513754481,47.64665800553684,31468500,44.148127,40.812775,44.682981,42.208338,78.987301,2.018487,1.787798,-0.000368,0.024527,3.000000,5.000000,11.000000,2015.000000
2015-11-06,48.022640228271484,48.0751060778495,47.18320664869848,47.296880988311244,32851200,44.489584,41.005495,45.001044,42.436350,79.723069,2.033715,1.836981,0.009930,0.024301,4.000000,6.000000,11.000000,2015.000000
2015-11-09,47.35808563232422,47.97891645832236,46.83344052160145,47.69910528785525,32513100,44.802623,41.184399,45.225524,42.629359,74.786601,1.969457,1.863477,-0.013838,0.024690,0.000000,9.000000,11.000000,2015.000000
2015-11-10,46.789737701416016,47.33187499905553,46.57988089994126,47.279409130879976,55283700,45.092054,41.359107,45.374497,42.792511,74.325431,1.851330,1.861047,-0.012001,0.024983,1.000000,10.000000,11.000000,2015.000000
2015-11-11,46.91214370727539,47.39306901042623,46.74600351002519,46.955863582904975,36516300,45.396786,41.565993,45.520939,42.954065,72.882757,1.747447,1.838327,0.002616,0.024863,2.000000,11.000000,11.000000,2015.000000
2015-11-12,46.62358093261719,47.20069189430987,46.509906601122665,46.763486519221104,35361100,45.672663,41.740175,45.625953,43.097968,52.895731,1.623125,1.795287,-0.006151,0.025044,3.000000,12.000000,11.000000,2015.000000
2015-11-13,46.2038688659668,46.59735441063747,45.932800305057526,46.40498295866234,36848200,45.905694,41.903515,45.680992,43.219768,39.737965,1.473742,1.730978,-0.009002,0.025261,4.000000,13.000000,11.000000,2015.000000
2015-11-16,47.01706314086914,47.12199148956229,46.212603572589515,46.41372096636847,32165200,46.174575,42.098683,45.808237,43.368682,50.552436,1.404780,1.665738,0.017600,0.025387,0.000000,16.000000,11.000000,2015.000000
2015-11-17,46.629737854003906,47.122706303208,46.524098879378144,46.80579609552211,31551300,46.417532,42.263720,45.886475,43.496566,45.583816,1.303843,1.593359,-0.008238,0.025590,1.000000,17.000000,11.000000,2015.000000
2015-11-18,47.4044075012207,47.51884805429685,46.63854334037932,46.656149837629194,29710000,46.724144,42.458591,46.031040,43.649815,55.568454,1.271700,1.529027,0.016613,0.025343,2.000000,18.000000,11.000000,2015.000000
2015-11-19,47.48363494873047,48.11745541585927,47.34278632915696,47.527652870800175,28149200,46.998428,42.651199,46.169383,43.800161,61.832977,1.238345,1.470891,0.001671,0.025251,3.000000,19.000000,11.000000,2015.000000
