,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year,Close',High',Low',Open',Volume',SMA_20',SMA_50',EMA_20',EMA_50',RSI_14',MACD',MACD_Signal',Daily_Return',Volatility',Day_of_Week',Day_of_Month',Month',Year'
2020-04-21,,,,,,,,,,,,,,,,,,,39.205357,40.518538,38.237747,39.637324,26863700.000000,39.215717,43.329093,40.277547,42.195424,52.959693,-0.332860,-0.714311,-0.024715,0.038314,1.000000,21.000000,4.000000,2020.000000
2020-04-21,39.205353,40.518534,38.237744,39.637320,26863700.000000,39.215716,43.329094,40.277547,42.195424,52.959676,-0.332861,-0.714311,-0.024715,0.038314,1.000000,21.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-22,39.464527,39.870577,39.309019,39.784182,15811600.000000,39.484832,43.094959,40.200116,42.088330,60.312886,-0.371048,-0.645659,0.006611,0.037133,2.000000,22.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,,,,,,,,39.464527,39.870577,39.309019,39.784182,15811600.000000,39.484832,43.094958,40.200116,42.088330,60.312892,-0.371048,-0.645658,0.006611,0.037133,2.000000,22.000000,4.000000,2020.000000
2020-04-23,38.937527,39.827378,38.851135,39.697790,17668200.000000,39.634292,42.853024,40.079870,41.964769,53.491273,-0.438779,-0.604283,-0.013354,0.035716,3.000000,23.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-23,,,,,,,,,,,,,,,,,,,38.937534,39.827386,38.851142,39.697798,17668200.000000,39.634293,42.853023,40.079871,41.964769,53.491295,-0.438777,-0.604282,-0.013354,0.035716,3.000000,23.000000,4.000000,2020.000000
2020-04-24,39.248550,39.525009,38.980729,39.309026,15175000.000000,39.683536,42.620392,40.000697,41.858251,54.913986,-0.462033,-0.575833,0.007988,0.032858,4.000000,24.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-24,,,,,,,,,,,,,,,,,,,39.248543,39.525002,38.980722,39.309018,15175000.000000,39.683537,42.620391,40.000696,41.858250,54.914007,-0.462032,-0.575832,0.007987,0.032857,4.000000,24.000000,4.000000,2020.000000
2020-04-27,40.414856,40.587644,39.490446,39.740988,19175500.000000,39.855027,42.407661,40.040140,41.801647,50.371869,-0.381947,-0.537056,0.029716,0.032326,0.000000,27.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,,,,,,,,40.414860,40.587647,39.490450,39.740992,19175500.000000,39.855028,42.407660,40.040141,41.801647,50.371915,-0.381947,-0.537055,0.029716,0.032326,0.000000,27.000000,4.000000,2020.000000
2020-04-28,40.380295,41.468851,40.233424,41.382459,17246700.000000,39.930190,42.188415,40.072536,41.745908,50.783877,-0.317607,-0.493166,-0.000855,0.030450,1.000000,28.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-28,,,,,,,,,,,,,,,,,,,40.380306,41.468862,40.233436,41.382470,17246700.000000,39.930190,42.188414,40.072537,41.745908,50.783956,-0.317606,-0.493165,-0.000855,0.030450,1.000000,28.000000,4.000000,2020.000000
2020-04-29,40.708599,41.347912,40.501257,40.838191,15780000.000000,40.054164,41.982929,40.133113,41.705229,47.452742,-0.237389,-0.442011,0.008130,0.030139,2.000000,29.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-04-29,,,,,,,,,,,,,,,,,,,40.708595,41.347908,40.501253,40.838187,15780000.000000,40.054165,41.982928,40.133114,41.705229,47.452659,-0.237388,-0.442010,0.008130,0.030139,2.000000,29.000000,4.000000,2020.000000
2020-04-30,,,,,,,,,,,,,,,,,,,39.645958,40.604926,39.481812,40.604926,20801100.000000,40.217017,41.752078,40.086718,41.624473,38.723657,-0.256603,-0.404928,-0.026104,0.028508,3.000000,30.000000,4.000000,2020.000000
2020-04-30,39.645954,40.604922,39.481808,40.604922,20801100.000000,40.217016,41.752079,40.086717,41.624473,38.723724,-0.256604,-0.404929,-0.026104,0.028508,3.000000,30.000000,4.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-01,39.395416,40.077925,39.058482,39.412695,14290400.000000,40.288291,41.517075,40.020879,41.537059,44.462994,-0.288720,-0.381687,-0.006319,0.027082,4.000000,1.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-01,,,,,,,,,,,,,,,,,,,39.395416,40.077925,39.058482,39.412695,14290400.000000,40.288292,41.517074,40.020880,41.537059,44.462884,-0.288720,-0.381687,-0.006319,0.027082,4.000000,1.000000,5.000000,2020.000000
2020-05-04,38.998005,39.291743,38.531479,39.153513,22544200.000000,40.344878,41.267100,39.923462,41.437488,31.965655,-0.342295,-0.373809,-0.010088,0.027202,0.000000,4.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-04,,,,,,,,,,,,,,,,,,,38.998013,39.291750,38.531487,39.153521,22544200.000000,40.344880,41.267100,39.923464,41.437489,31.965662,-0.342294,-0.373808,-0.010088,0.027202,0.000000,4.000000,5.000000,2020.000000
2020-05-05,39.222633,39.827385,39.006650,39.188075,13370500.000000,40.290019,41.046968,39.856717,41.350631,38.282110,-0.362449,-0.371537,0.005760,0.022867,1.000000,5.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-05,,,,,,,,,,,,,,,,,,,39.222633,39.827385,39.006650,39.188075,13370500.000000,40.290020,41.046967,39.856718,41.350632,38.282062,-0.362448,-0.371536,0.005760,0.022866,1.000000,5.000000,5.000000,2020.000000
2020-05-06,38.661079,39.421343,38.635162,39.222638,11892900.000000,40.213993,40.829821,39.742847,41.245159,37.722141,-0.418905,-0.381011,-0.014317,0.023053,2.000000,6.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-06,,,,,,,,,,,,,,,,,,,38.661072,39.421335,38.635155,39.222631,11892900.000000,40.213994,40.829820,39.742847,41.245159,37.722039,-0.418905,-0.381010,-0.014317,0.023053,2.000000,6.000000,5.000000,2020.000000
2020-05-07,38.531471,39.084392,38.445079,39.006638,16466000.000000,40.074899,40.613851,39.627478,41.138740,30.251183,-0.468703,-0.398549,-0.003352,0.021957,3.000000,7.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-07,,,,,,,,,,,,,,,,,,,38.531483,39.084404,38.445091,39.006649,16466000.000000,40.074901,40.613850,39.627479,41.138740,30.251039,-0.468702,-0.398548,-0.003352,0.021957,3.000000,7.000000,5.000000,2020.000000
2020-05-08,39.836018,39.931051,38.773379,38.946166,13985100.000000,39.950060,40.469704,39.647338,41.087653,47.597230,-0.398310,-0.398501,0.033857,0.022656,4.000000,8.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-08,,,,,,,,,,,,,,,,,,,39.836021,39.931055,38.773382,38.946170,13985100.000000,39.950062,40.469703,39.647340,41.087653,47.597254,-0.398309,-0.398500,0.033856,0.022656,4.000000,8.000000,5.000000,2020.000000
2020-05-11,39.343586,39.836028,39.326307,39.473174,10874600.000000,39.890018,40.340374,39.618410,41.019258,50.980414,-0.377902,-0.394382,-0.012361,0.020829,0.000000,11.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-11,,,,,,,,,,,,,,,,,,,39.343578,39.836021,39.326299,39.473167,10874600.000000,39.890018,40.340373,39.618411,41.019258,50.980342,-0.377902,-0.394381,-0.012362,0.020829,0.000000,11.000000,5.000000,2020.000000
2020-05-12,38.721542,39.611394,38.704263,39.395410,13424400.000000,39.712911,40.156981,39.532994,40.929151,44.988367,-0.407229,-0.396951,-0.015811,0.018317,1.000000,12.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-12,,,,,,,,,,,,,,,,,,,38.721546,39.611398,38.704267,39.395414,13424400.000000,39.712912,40.156980,39.532995,40.929152,44.988344,-0.407228,-0.396950,-0.015810,0.018317,1.000000,12.000000,5.000000,2020.000000
2020-05-13,37.961281,38.686986,37.598430,38.626511,15854800.000000,39.554378,39.955984,39.383307,40.812764,43.615855,-0.486212,-0.414803,-0.019634,0.017919,2.000000,13.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-13,,,,,,,,,,,,,,,,,,,37.961277,38.686982,37.598426,38.626507,15854800.000000,39.554380,39.955983,39.383308,40.812764,43.615733,-0.486212,-0.414803,-0.019634,0.017919,2.000000,13.000000,5.000000,2020.000000
2020-05-14,,,,,,,,,,,,,,,,,,,37.753933,38.064950,37.347883,37.477474,18000800.000000,39.407511,39.701852,39.228129,40.692810,40.091608,-0.559093,-0.443661,-0.005462,0.017851,3.000000,14.000000,5.000000,2020.000000
2020-05-14,37.753937,38.064954,37.347887,37.477478,18000800.000000,39.407510,39.701853,39.228129,40.692810,40.091638,-0.559092,-0.443661,-0.005462,0.017851,3.000000,14.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-15,,,,,,,,,,,,,,,,,,,37.373806,38.609233,37.321972,37.978561,31579400.000000,39.200167,39.477459,39.051527,40.562653,27.493518,-0.640146,-0.482958,-0.010069,0.016977,4.000000,15.000000,5.000000,2020.000000
2020-05-15,37.373814,38.609241,37.321980,37.978569,31579400.000000,39.200166,39.477460,39.051527,40.562653,27.493768,-0.640145,-0.482958,-0.010068,0.016977,4.000000,15.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-18,,,,,,,,,,,,,,,,,,,38.851143,39.213994,38.125438,38.721551,26118500.000000,39.132780,39.307962,39.032443,40.495535,40.674394,-0.578503,-0.502067,0.039529,0.018496,0.000000,18.000000,5.000000,2020.000000
2020-05-18,38.851139,39.213990,38.125434,38.721548,26118500.000000,39.132779,39.307963,39.032443,40.495535,40.674475,-0.578503,-0.502067,0.039528,0.018496,0.000000,18.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-19,,,,,,,,,,,,,,,,,,,38.479641,39.162150,38.229099,38.885688,17839900.000000,39.096494,39.189273,38.979795,40.416481,36.477987,-0.553251,-0.512304,-0.009562,0.017793,1.000000,19.000000,5.000000,2020.000000
2020-05-19,38.479637,39.162146,38.229095,38.885684,17839900.000000,39.096493,39.189273,38.979795,40.416480,36.477966,-0.553250,-0.512303,-0.009562,0.017793,1.000000,19.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-20,,,,,,,,,,,,,,,,,,,39.645958,39.887859,38.894336,39.049844,22295900.000000,39.105566,39.063078,39.043239,40.386264,50.000000,-0.434121,-0.496667,0.030310,0.019056,2.000000,20.000000,5.000000,2020.000000
2020-05-20,39.645954,39.887855,38.894332,39.049841,22295900.000000,39.105565,39.063078,39.043238,40.386264,50.000000,-0.434122,-0.496667,0.030310,0.019056,2.000000,20.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-21,39.023911,39.818732,38.902960,39.810094,13193500.000000,39.109884,38.949279,39.041398,40.332838,47.869108,-0.385461,-0.474426,-0.015690,0.019152,3.000000,21.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-21,,,,,,,,,,,,,,,,,,,39.023922,39.818743,38.902972,39.810106,13193500.000000,39.109885,38.949279,39.041399,40.332839,47.869169,-0.385460,-0.474426,-0.015690,0.019152,3.000000,21.000000,5.000000,2020.000000
2020-05-22,38.902966,39.144869,38.574673,39.067115,13008400.000000,39.092605,38.919560,39.028214,40.276765,49.437016,-0.352593,-0.450059,-0.003099,0.019077,4.000000,22.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-22,,,,,,,,,,,,,,,,,,,38.902966,39.144869,38.574673,39.067115,13008400.000000,39.092606,38.919560,39.028215,40.276765,49.436970,-0.352592,-0.450059,-0.003100,0.019077,4.000000,22.000000,5.000000,2020.000000
2020-05-26,39.818745,40.544450,39.680515,40.535809,22223100.000000,39.062799,38.878436,39.103502,40.258803,53.263922,-0.249769,-0.410001,0.023540,0.018611,1.000000,26.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-26,,,,,,,,,,,,,,,,,,,39.818741,40.544446,39.680511,40.535805,22223100.000000,39.062800,38.878436,39.103503,40.258804,53.263900,-0.249769,-0.410001,0.023540,0.018611,1.000000,26.000000,5.000000,2020.000000
2020-05-27,,,,,,,,,,,,,,,,,,,40.371658,40.682675,39.887854,40.604921,18447600.000000,39.062368,38.903836,39.224280,40.263229,59.374943,-0.122256,-0.352452,0.013886,0.018889,2.000000,27.000000,5.000000,2020.000000
2020-05-27,40.371658,40.682675,39.887854,40.604921,18447600.000000,39.062367,38.903836,39.224279,40.263229,59.374901,-0.122256,-0.352452,0.013886,0.018889,2.000000,27.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-28,40.682671,41.002325,40.449408,40.864096,16230600.000000,39.061071,38.902280,39.363173,40.279677,61.559885,0.003851,-0.281192,0.007704,0.018880,3.000000,28.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-28,,,,,,,,,,,,,,,,,,,40.682678,41.002333,40.449415,40.864104,16230600.000000,39.061072,38.902281,39.363175,40.279678,61.559831,0.003852,-0.281191,0.007704,0.018880,3.000000,28.000000,5.000000,2020.000000
2020-05-29,40.328465,40.769070,39.861939,40.328465,51125000.000000,39.095196,38.933900,39.455106,40.281591,52.947284,0.074353,-0.210083,-0.008707,0.017987,4.000000,29.000000,5.000000,2020.000000,,,,,,,,,,,,,,,,,,
2020-05-29,,,,,,,,,,,,,,,,,,,40.328465,40.769070,39.861939,40.328465,51125000.000000,39.095197,38.933901,39.455107,40.281591,52.947247,0.074353,-0.210082,-0.008707,0.017987,4.000000,29.000000,5.000000,2020.000000
2020-06-01,40.596287,40.803629,40.250712,40.311187,17010700.000000,39.155240,39.023058,39.563790,40.293932,57.704529,0.150107,-0.138045,0.006641,0.017943,0.000000,1.000000,6.000000,2020.000000,,,,,,,,,,,,,,,,,,
