Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year
2015-07-09,0.469777911901474,0.48526778698035533,0.4668735747502249,0.4830895124778568,357588000,0.504134,0.515392,0.499014,0.513061,13.544787,-0.012263,-0.008514,-0.012214,0.014515,3.000000,9.000000,7.000000,2015.000000
2015-07-10,0.47800689935684204,0.4823634194963843,0.4746184819807171,0.47582862486102984,216708000,0.501774,0.514284,0.497013,0.511686,21.657829,-0.012380,-0.009287,0.017517,0.014973,4.000000,10.000000,7.000000,2015.000000
2015-07-13,0.48115333914756775,0.4838156365190031,0.47800696147942967,0.4828475336297695,212472000,0.500286,0.513211,0.495503,0.510489,24.867882,-0.012079,-0.009845,0.006582,0.014174,0.000000,13.000000,7.000000,2015.000000
2015-07-14,0.48139530420303345,0.48236343585135827,0.4751025783232959,0.4818793844532374,249216000,0.498858,0.511877,0.494159,0.509348,29.411783,-0.011686,-0.010214,0.000503,0.014193,1.000000,14.000000,7.000000,2015.000000
2015-07-15,0.47800689935684204,0.4833315222598016,0.4736503792172998,0.4801851450005721,265732000,0.496946,0.510543,0.492621,0.508119,30.063446,-0.011516,-0.010474,-0.007039,0.013761,2.000000,15.000000,7.000000,2015.000000
2015-07-16,0.4886561632156372,0.4886561632156372,0.4792170316465516,0.48091122587113166,282848000,0.495264,0.509701,0.492243,0.507355,35.755762,-0.010402,-0.010460,0.022278,0.014565,3.000000,16.000000,7.000000,2015.000000
2015-07-17,0.48575183749198914,0.4874460318568008,0.4794590825917357,0.4869620092978076,220372000,0.493001,0.508768,0.491625,0.506508,39.297189,-0.009642,-0.010296,-0.005943,0.013796,4.000000,17.000000,7.000000,2015.000000
2015-07-20,0.4767967462539673,0.48768806079535326,0.4755866033996001,0.485751797605868,188412000,0.490375,0.507468,0.490213,0.505343,42.708372,-0.009651,-0.010167,-0.018436,0.014145,0.000000,20.000000,7.000000,2015.000000
2015-07-21,0.4789750576019287,0.48575186428708206,0.4758286799782412,0.4758286799782412,149720000,0.487966,0.507011,0.489143,0.504309,44.594546,-0.009375,-0.010009,0.004569,0.014309,1.000000,21.000000,7.000000,2015.000000
2015-07-22,0.469777911901474,0.4755866150560545,0.46396923759897574,0.4755866150560545,356472000,0.485776,0.506466,0.487298,0.502955,33.770590,-0.009785,-0.009964,-0.019202,0.013873,2.000000,22.000000,7.000000,2015.000000
2015-07-23,0.4755866229534149,0.4826054402564916,0.4697779197023779,0.47074605133692543,169916000,0.484130,0.505942,0.486183,0.501882,38.226304,-0.009531,-0.009877,0.012365,0.014292,3.000000,23.000000,7.000000,2015.000000
2015-07-24,0.47001999616622925,0.4794591000073871,0.4680837615995062,0.4789750485787276,188844000,0.482012,0.505248,0.484644,0.500632,38.461597,-0.009668,-0.009835,-0.011705,0.014172,4.000000,24.000000,7.000000,2015.000000
2015-07-27,0.4673576056957245,0.4726822283821808,0.4620329830092681,0.4659054227575632,192420000,0.480282,0.504337,0.482997,0.499327,41.946286,-0.009877,-0.009844,-0.005664,0.013665,0.000000,27.000000,7.000000,2015.000000
2015-07-28,0.4775228500366211,0.48066919845735145,0.46372719805983387,0.4685677696019817,198308000,0.479810,0.503624,0.482476,0.498472,51.226988,-0.009118,-0.009699,0.021750,0.013285,1.000000,28.000000,7.000000,2015.000000
2015-07-29,0.4833316504955292,0.48720412028079185,0.47461860790473315,0.4765548427973645,232680000,0.479641,0.503042,0.482557,0.497878,58.589002,-0.007956,-0.009350,0.012164,0.013603,2.000000,29.000000,7.000000,2015.000000
2015-07-30,0.4845418334007263,0.4893824063146684,0.4821215180916648,0.4821215180916648,190180000,0.479181,0.502549,0.482746,0.497355,54.545541,-0.006858,-0.008852,0.002504,0.013180,3.000000,30.000000,7.000000,2015.000000
2015-07-31,0.4828474819660187,0.4867199219606954,0.47994314475699046,0.48647791069032464,218340000,0.478612,0.502021,0.482756,0.496787,51.202700,-0.006055,-0.008292,-0.003497,0.013185,4.000000,31.000000,7.000000,2015.000000
2015-08-03,0.49107667803764343,0.491560700782397,0.48042739864650175,0.4867201271097221,397132000,0.478757,0.501731,0.483549,0.496563,56.172925,-0.004700,-0.007574,0.017043,0.013503,0.000000,3.000000,8.000000,2015.000000
